Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
15015020,259.65131664664204,246.71821736466313,139.52430984063264,225.74515607035022
15060050,315.56127410723167,370.071629067976,172.67421860988432,283.5500089117573
15060070,497.2593203829018,419.90284899207825,219.5148786251896,624.1330991640542
15060080,342.7687374622748,393.3197152541933,187.746457175144,305.3474900391398
15060150,369.28901271618145,372.28487747959895,314.5062525755107,319.67543078214754
15065040,164.63215950118777,192.4882516420686,119.31465292227685,138.6056483451064
16050240,645.287242084936,328.732356950757,266.2835490135696,880.0305640092515
16060010,1066.2406202753689,954.8778861382734,1058.3515591367893,1150.480991099963
16070010,1107.000117847873,817.7649066102036,1044.76871732281,1317.8151525254218
16070020,908.4244099848809,1109.2052613092517,557.6939443475238,767.7182891635047
16070030,773.4413557210883,789.631073688243,592.0546222394418,805.4140857162081
16070040,756.909290186003,773.61576923233,775.3694813322729,712.8730400186237
23210020,525.2004595928164,397.2649705265829,515.2436525887833,561.2647254571248
23215050,1070.6870646684276,1321.450721072776,708.887792693116,1001.2799279169418
23215060,377.37311641944723,450.0545619985924,251.07716132671032,348.54663376134965
25020090,554.4645708137886,532.1444892661802,371.0630798905854,447.8247008082528
25020220,375.18342559539275,411.50491366976286,234.41813224934782,378.7801131412655
25020230,545.4492521162822,467.0918296153169,426.6131632552584,390.64125865049226
25020240,636.4172946834618,776.7795119957852,326.4513638702341,506.2653383471947
25020250,431.4911786616417,401.52616153984565,288.94515490911857,348.38495697999934
25020260,800.0013078600507,867.4542846440762,436.40246812067664,549.841443384125
25020270,583.799515342618,584.3448622833292,351.75117801331373,425.43392233497804
25020280,453.1131527070018,529.9432770294928,456.22933106986846,366.3376387331458
25020650,949.6788435256206,409.14961383260373,502.7871058936325,1299.488574159868
25020660,509.56588624233467,620.4204580311563,277.5574970737021,378.47794717424654
25020670,584.0936815239753,622.8493014461201,471.0046851134796,404.86147904657764
25020690,854.2580132317939,932.967011330395,703.5925344583003,807.673409535431
25020870,533.354720199931,709.1788247021107,266.18460272388546,291.10480475756697
25020880,689.0082227090019,798.8474445080233,395.51841364693627,497.1918813980218
25020890,540.4525929590504,572.264427457072,378.50019976931213,361.2794340988637
25020900,433.4768351950892,353.8465124894991,433.82668856169914,410.823500777219
25020920,824.7817366562201,806.3263305735795,523.2678548537513,925.8971390281582
25021040,603.7914135622484,640.1067463061662,471.96413006197736,438.8816721215219
25021090,723.9429159420092,831.6793843753135,474.04744951965534,554.5809089988577
25021200,861.2115324938006,1158.0739338348196,431.47282649084633,515.6414317429267
25021240,607.6211347328068,533.5121296052204,479.0429398100114,618.1868444679187
25021320,735.3119535678884,678.8037157562673,728.3770029740201,721.8340265635438
25021380,605.3386559827152,666.2566091412249,438.0973967131035,356.7360186067501
25021500,239.1551521913746,231.76483371799586,209.27090967538618,216.53343241389118
25021540,606.9466166249746,702.4263647439874,291.97361107019634,465.69820573363756
25021580,386.47077405877815,395.7626338769888,261.97734948363836,304.766683562359
25021590,411.0181404401613,424.6488556281451,288.91030166659453,243.12050601788374
25021620,396.6289809907567,479.6311682298429,220.81021175515272,363.93934888649443
25021630,302.42418158523066,321.4711111772932,242.7956786106955,321.4350960047487
25021640,620.6148414912934,764.3390384961576,295.79292184474195,588.5947241845726
25021650,516.0209501694518,570.7179288227668,362.0498781108236,387.83738412544704
25025090,582.6794107861932,603.15441353246,367.8775142519824,349.5425418835543
25025250,441.8005684397216,470.5690315365891,362.38741960948954,330.75110804259134
25025300,371.9359088955441,413.477075247158,219.59107427868162,353.93403182366376
25025330,428.13754494070184,445.19374428267713,348.0387189811944,367.16944763441995
28010020,299.8794981914486,351.2981763840798,217.3263708854126,270.3024227962647
28010040,518.5995650875478,414.20029548579004,451.99864832872123,617.4356789565009
28010070,364.5123912001571,345.0080583579415,220.78535828647816,381.0000640340643
28010090,327.89551796402907,318.4808084597873,299.2461694000039,330.7949790674799
28010130,655.0318174437709,688.21113758768,545.7845204895407,558.2604481872753
28010140,537.1195243369501,667.2226947232928,334.617090120369,402.7471583660037
28010200,320.2735991652666,297.3211044284316,284.8308528801171,318.6344249606098
28010280,207.43184981417923,223.27979649846628,133.05076962197447,153.01565594176955
28010340,323.26950031553105,304.9098895890896,263.3154565086593,324.54135802363544
28010360,999.0608135510408,1110.8724637730609,732.878221735797,1007.3017089795952
28010370,331.31235453292584,335.6559784920207,304.52937162418044,277.0642435786058
28015070,252.82460464461678,281.7152092429335,227.85979803657125,199.61035418217168
28020080,390.94690035658385,512.94278125892,254.32125627921184,296.6908456928154
28020150,416.1660081471626,489.06542808647777,262.4768767326038,353.46423126558193
28020230,391.18931602058154,399.3955853480734,357.0736528550639,313.9348008329362
28020310,584.8484450233333,652.7881565567444,376.86094631890757,434.07090114092694
28020410,416.01147831485724,448.5330096119295,498.2179035269237,357.9250488915276
28020420,556.8660012404453,598.2593783280405,234.080511455634,619.5518616599833
28020440,388.8975476699431,454.66239094405927,236.12459950965678,276.75305979254415
28020460,401.1704635082769,457.0738296637164,201.11913023244344,338.5143638799026
28020590,371.8732369240627,424.25766765822533,329.8062593615549,320.5765758161433
28020600,383.9649558305444,465.7836486093917,280.34541927295083,346.47068667791734
28025020,221.19616255693634,193.65753618201475,171.86785940519795,201.44255135630033
28025040,273.6312399174007,279.5142869964139,281.3596307921316,156.767675652688
28025070,330.4745591495114,272.15592768550715,239.21147281698828,273.0627642184382
28025080,353.06536761229614,346.12532067549074,143.53806565013272,286.4919186991303
28025090,399.38670100229257,435.52974520610616,308.2355598864216,307.6377402892715
28030190,538.8872375091939,548.6350337486755,485.85527081819157,530.7720434651612
28030220,347.67105474563454,261.3447179342169,252.49598167958248,405.3157115422264
28035010,365.7848975914234,461.34339319264035,118.4571705807502,313.40649392740045
28035020,251.56970641814598,243.70044866165586,229.78881159396522,187.70408476813353
28035040,289.21579654606154,359.56506224946395,195.79096693298288,234.77966519253096
28040010,599.7188641303695,372.72954551868315,480.92830537905456,657.8060649552151
28040030,862.0634048179737,1341.6210453027338,637.929822754424,448.0500183027101
28040060,314.3393356370875,300.8615595527015,318.3678961294182,300.6293689815778
28040070,268.9049239345253,306.11124192995175,189.98487935386783,225.4374189867342
28040100,425.89926944195525,461.0965350140975,405.2461992567881,395.29682042969944
28040140,376.2763578093964,444.6416781628448,291.3585789474596,274.20782724481853
28040150,312.3967908481729,342.23297928211423,270.70307686179495,201.11476482598866
28040170,452.9237601782963,442.40175675664864,452.3294817094964,442.3337527872128
28040200,199.31248037647305,232.18195226707334,201.96608017672574,135.19941357228072
28040270,367.3175163898669,446.9364194583583,278.65353799252347,324.7729382305468
28040300,366.85739385632684,555.2767325547065,266.70862143994896,227.27133213649276
28040310,301.3437888622608,346.6445258464896,169.94392508342946,246.680392375665
28040320,296.46494671879077,324.0669112984351,227.3626358039062,262.59419878453923
28040350,341.38978786237163,419.26995104420223,174.96073481576582,274.7300578857042
28040360,305.31215190982414,319.4824236302074,190.0405219946525,313.69834605917424
28040400,245.17801880901638,256.6958415871935,199.3370697767109,230.56654584802905
28045010,685.3176325204271,790.8151240274691,589.6513733509812,631.6249142130748
29060030,475.33438991958775,479.69615115810285,362.6308059519742,435.8541426003194
29060040,436.5373538892315,513.9157479702741,229.07574451973898,244.77103647413563
29060060,920.6891743890279,1130.68053143984,808.3316933520882,523.7475507682976
29060070,602.1857366613137,853.3913723480844,417.1872132617333,455.36515732864643
29060090,170.67660761536365,207.9462804055577,176.3353266198227,141.68552567120477
29060100,397.1907540448574,483.0707332610136,436.5200609781452,249.7251773109923
29060120,295.9849159294544,407.4808427896519,215.59747545471203,180.10026782926613
29060140,812.3764161563563,1094.4372370681142,384.96119875314,475.3596646242022
29060150,489.02771293258115,541.2066215145521,417.42899232847213,392.93204779093475
29060160,404.69129147942476,447.45709659334034,247.94731001858952,312.93443108319826
29060170,408.6770945800187,516.7404451171053,262.6678639028245,341.9881787124885
29060180,885.8106214818226,1133.5321723199656,699.597216852845,668.5018197481111
29060190,511.10969323024045,473.353178850507,332.8016797294741,526.4830118518557
29060200,441.86087862638874,461.03017419301926,240.38770892869928,338.48807884949116
29060210,303.3074398766224,269.86067756063534,140.91352022363995,275.99936073267014
29060220,552.8559839398806,589.994498321112,175.3398988414812,450.6913248986471
29060230,338.7884357730314,379.18341945166395,238.4050448402927,286.69306051432005
29060240,662.4183977301966,953.5756662505963,300.7420630958045,292.831873825311
29060250,482.36425720865566,555.1759327085756,425.3017288296093,314.5823074465335
29060270,409.07462371260243,465.4110866682855,246.97643155525185,304.0776147047161
29060280,311.3099546606483,378.21289507947904,238.1080818870412,247.6413211663243
29060290,557.8815239644412,619.0019582213667,344.6037350260457,367.4977923266723
29060310,542.7723563536078,679.4978048300972,211.69605140818803,283.30857423539817
29060330,528.0346300933662,582.6804534594219,362.2374136316811,423.66586285089284
29060340,641.7179796454126,828.9121939254554,490.6762859934884,552.7598474064607
29060350,433.60907704108996,574.981149918354,266.47771197553976,329.60970002970726
29060550,368.0205754027321,419.8367246839177,267.1410727893993,293.71123728836665
29060560,377.42128603276655,389.21182006090953,366.4865272675533,349.2856587864417
29065010,242.61417129257114,260.65936099385476,200.43722360985757,190.6257552673288
29065020,392.669175324334,437.99857393515657,217.7211147781955,266.32925024000616
29065030,439.86863911323985,539.3481092483498,227.30371333853103,276.4682587670133
